id,kind,primary_name,name_agreement,county_fips,county_names,states,address,address_agreement,address_n_sources,operationalStatus,operationalStatus_agreement,operationalStatus_n_sources
court-hyattsville-immigration-court,immigration-court,Hyattsville Immigration Court,single,24033,"Prince George's County, MD",MD,"3311 Toledo Road, Suite 105, Hyattsville, MD 20782",single,1,OPEN,single,1
court-imperial-immigration-court,immigration-court,Imperial Immigration Court,single,06025,"Imperial County, CA",CA,"2409 La Brucherie Road, Imperial, CA 92251",single,1,OPEN,single,1
court-indianapolis-immigration-court,immigration-court,Indianapolis Immigration Court,single,18097,"Marion County, IN",IN,"575 N. Pennsylvania Street, Suite 617, Indianapolis, IN 46204",single,1,OPEN,single,1
court-kansas-city-immigration-court,immigration-court,Kansas City Immigration Court,single,29095,"Jackson County, MO",MO,"2345 Grand Boulevard, Suite 525, Kansas City, MO 64108",single,1,OPEN,single,1
court-laredo-immigration-court,immigration-court,Laredo Immigration Court,single,48479,"Webb County, TX",TX,"1406 Jacaman Road, Suite B, Laredo, TX 78041",single,1,OPEN,single,1
court-las-vegas-immigration-court,immigration-court,Las Vegas Immigration Court,single,32003,"Clark County, NV",NV,"110 North City Parkway, Suite 400, Las Vegas, NV 89106",single,1,OPEN,single,1
court-lasalle-immigration-court,immigration-court,LaSalle Immigration Court,single,22059,"LaSalle Parish, LA",LA,"830 Pine Hill Road, P.O. Box 2179, Jena, LA 71342",single,1,OPEN,single,1
court-los-angeles-n-los-angeles-street-immigration-court,immigration-court,Los Angeles – N. Los Angeles Street Immigration Court,single,06037,"Los Angeles County, CA",CA,"300 North Los Angeles Street, Room 4330, Los Angeles, CA 90012",single,1,OPEN,single,1
court-los-angeles-van-nuys-boulevard-immigration-court,immigration-court,Los Angeles - Van Nuys Boulevard Immigration Court,single,06037,"Los Angeles County, CA",CA,"6230 Van Nuys Boulevard, 3rd Floor, Suite 300, Van Nuys, CA 91401",single,1,OPEN,single,1
court-los-angeles-west-los-angeles-immigration-court,immigration-court,Los Angeles – West Los Angeles Immigration Court,single,06037,"Los Angeles County, CA",CA,"5245 Pacific Concourse Drive, Los Angeles, CA 90045",single,1,OPEN,single,1
court-los-fresnos-immigration-court,immigration-court,Port Isabel Immigration Court,single,48061,"Cameron County, TX",TX,"Port Isabel Processing Center, 27991 Buena Vista Boulevard, Los Fresnos, TX 78566",single,1,OPEN,single,1
