id,kind,primary_name,name_agreement,county_fips,county_names,states,address,address_agreement,address_n_sources,areaOfResponsibility,areaOfResponsibility_agreement,areaOfResponsibility_n_sources,fieldOfficeCode,fieldOfficeCode_agreement,fieldOfficeCode_n_sources,phone,phone_agreement,phone_n_sources
ero-dal,field-office,Dallas Field Office,converged,40001|40003|40005|40007|40009|40011|40013|40015|40017|40019|40021|40023|40025|40027|40029|40031|40033|40035|40037|40039|40041|40043|40045|40047|40049|40051|40053|40055|40057|40059|40061|40063|40065|40067|40069|40071|40073|40075|40077|40079|40081|40083|40085|40087|40089|40091|40093|40095|40097|40099|40101|40103|40105|40107|40109|40111|40113|40115|40117|40119|40121|40123|40125|40127|40129|40131|40133|40135|40137|40139|40141|40143|40145|40147|40149|40151|40153|48001|48009|48011|48017|48023|48033|48037|48045|48049|48059|48063|48065|48067|48069|48073|48075|48077|48079|48081|48083|48085|48087|48093|48095|48097|48101|48105|48107|48111|48113|48115|48117|48119|48121|48125|48129|48133|48139|48143|48147|48151|48153|48155|48159|48165|48169|48173|48179|48181|48183|48189|48191|48195|48197|48203|48205|48207|48211|48213|48219|48221|48223|48227|48231|48233|48235|48237|48251|48253|48257|48263|48269|48275|48277|48279|48295|48303|48305|48315|48327|48333|48335|48337|48341|48343|48345|48349|48353|48357|48359|48363|48365|48367|48369|48375|48379|48381|48383|48387|48393|48397|48399|48401|48413|48415|48417|48421|48423|48429|48431|48433|48435|48437|48439|48441|48445|48447|48449|48451|48459|48467|48483|48485|48487|48497|48499|48501|48503,"Adair County, OK|Alfalfa County, OK|Atoka County, OK|Beaver County, OK|Beckham County, OK|Blaine County, OK|Bryan County, OK|Caddo County, OK|Canadian County, OK|Carter County, OK|Cherokee County, OK|Choctaw County, OK|Cimarron County, OK|Cleveland County, OK|Coal County, OK|Comanche County, OK|Cotton County, OK|Craig County, OK|Creek County, OK|Custer County, OK|Delaware County, OK|Dewey County, OK|Ellis County, OK|Garfield County, OK|Garvin County, OK|Grady County, OK|Grant County, OK|Greer County, OK|Harmon County, OK|Harper County, OK|Haskell County, OK|Hughes County, OK|Jackson County, OK|Jefferson County, OK|Johnston County, OK|Kay County, OK|Kingfisher County, OK|Kiowa County, OK|Latimer County, OK|Le Flore County, OK|Lincoln County, OK|Logan County, OK|Love County, OK|McClain County, OK|McCurtain County, OK|McIntosh County, OK|Major County, OK|Marshall County, OK|Mayes County, OK|Murray County, OK|Muskogee County, OK|Noble County, OK|Nowata County, OK|Okfuskee County, OK|Oklahoma County, OK|Okmulgee County, OK|Osage County, OK|Ottawa County, OK|Pawnee County, OK|Payne County, OK|Pittsburg County, OK|Pontotoc County, OK|Pottawatomie County, OK|Pushmataha County, OK|Roger Mills County, OK|Rogers County, OK|Seminole County, OK|Sequoyah County, OK|Stephens County, OK|Texas County, OK|Tillman County, OK|Tulsa County, OK|Wagoner County, OK|Washington County, OK|Washita County, OK|Woods County, OK|Woodward County, OK|Anderson County, TX|Archer County, TX|Armstrong County, TX|Bailey County, TX|Baylor County, TX|Borden County, TX|Bowie County, TX|Briscoe County, TX|Brown County, TX|Callahan County, TX|Camp County, TX|Carson County, TX|Cass County, TX|Castro County, TX|Cherokee County, TX|Childress County, TX|Clay County, TX|Cochran County, TX|Coke County, TX|Coleman County, TX|Collin County, TX|Collingsworth County, TX|Comanche County, TX|Concho County, TX|Cooke County, TX|Cottle County, TX|Crockett County, TX|Crosby County, TX|Dallam County, TX|Dallas County, TX|Dawson County, TX|Deaf Smith County, TX|Delta County, TX|Denton County, TX|Dickens County, TX|Donley County, TX|Eastland County, TX|Ellis County, TX|Erath County, TX|Fannin County, TX|Fisher County, TX|Floyd County, TX|Foard County, TX|Franklin County, TX|Gaines County, TX|Garza County, TX|Glasscock County, TX|Gray County, TX|Grayson County, TX|Gregg County, TX|Hale County, TX|Hall County, TX|Hansford County, TX|Hardeman County, TX|Harrison County, TX|Hartley County, TX|Haskell County, TX|Hemphill County, TX|Henderson County, TX|Hockley County, TX|Hood County, TX|Hopkins County, TX|Howard County, TX|Hunt County, TX|Hutchinson County, TX|Irion County, TX|Jack County, TX|Johnson County, TX|Jones County, TX|Kaufman County, TX|Kent County, TX|King County, TX|Knox County, TX|Lamar County, TX|Lamb County, TX|Lipscomb County, TX|Lubbock County, TX|Lynn County, TX|Marion County, TX|Menard County, TX|Mills County, TX|Mitchell County, TX|Montague County, TX|Moore County, TX|Morris County, TX|Motley County, TX|Navarro County, TX|Nolan County, TX|Ochiltree County, TX|Oldham County, TX|Palo Pinto County, TX|Panola County, TX|Parker County, TX|Parmer County, TX|Potter County, TX|Rains County, TX|Randall County, TX|Reagan County, TX|Red River County, TX|Roberts County, TX|Rockwall County, TX|Runnels County, TX|Rusk County, TX|Schleicher County, TX|Scurry County, TX|Shackelford County, TX|Sherman County, TX|Smith County, TX|Stephens County, TX|Sterling County, TX|Stonewall County, TX|Sutton County, TX|Swisher County, TX|Tarrant County, TX|Taylor County, TX|Terry County, TX|Throckmorton County, TX|Titus County, TX|Tom Green County, TX|Upshur County, TX|Van Zandt County, TX|Wheeler County, TX|Wichita County, TX|Wilbarger County, TX|Wise County, TX|Wood County, TX|Yoakum County, TX|Young County, TX",TX,"8101 N. Stemmons Frwy, Dallas, TX 75247",single,1,"North Texas, Oklahoma",single,1,DAL,single,1,(972) 367-2200,single,1
ero-elp,field-office,El Paso Field Office,converged,35001|35003|35005|35006|35007|35009|35011|35013|35015|35017|35019|35021|35023|35025|35027|35028|35029|35031|35033|35035|35037|35039|35041|35043|35045|35047|35049|35051|35053|35055|35057|35059|35061|48003|48043|48103|48109|48135|48141|48229|48243|48301|48317|48329|48371|48377|48389|48443|48461|48475|48495,"Bernalillo County, NM|Catron County, NM|Chaves County, NM|Cibola County, NM|Colfax County, NM|Curry County, NM|De Baca County, NM|Doña Ana County, NM|Eddy County, NM|Grant County, NM|Guadalupe County, NM|Harding County, NM|Hidalgo County, NM|Lea County, NM|Lincoln County, NM|Los Alamos County, NM|Luna County, NM|McKinley County, NM|Mora County, NM|Otero County, NM|Quay County, NM|Rio Arriba County, NM|Roosevelt County, NM|Sandoval County, NM|San Juan County, NM|San Miguel County, NM|Santa Fe County, NM|Sierra County, NM|Socorro County, NM|Taos County, NM|Torrance County, NM|Union County, NM|Valencia County, NM|Andrews County, TX|Brewster County, TX|Crane County, TX|Culberson County, TX|Ector County, TX|El Paso County, TX|Hudspeth County, TX|Jeff Davis County, TX|Loving County, TX|Martin County, TX|Midland County, TX|Pecos County, TX|Presidio County, TX|Reeves County, TX|Terrell County, TX|Upton County, TX|Ward County, TX|Winkler County, TX",TX,"11541 Montana Ave, Suite E, El Paso, TX 79936",single,1,"West Texas, New Mexico",single,1,ELP,single,1,(915) 225-1901,single,1
ero-hlg,field-office,Harlingen Field Office,converged,48007|48047|48061|48131|48215|48247|48249|48261|48273|48355|48409|48427|48479|48489|48505,"Aransas County, TX|Brooks County, TX|Cameron County, TX|Duval County, TX|Hidalgo County, TX|Jim Hogg County, TX|Jim Wells County, TX|Kenedy County, TX|Kleberg County, TX|Nueces County, TX|San Patricio County, TX|Starr County, TX|Webb County, TX|Willacy County, TX|Zapata County, TX",TX,"1717 Zoy Street, Harlingen, TX 78552",single,1,South Texas,single,1,HLG,single,1,(956) 389-7884,single,1
ero-hou,field-office,Houston Field Office,single,48005|48015|48025|48039|48041|48051|48057|48071|48089|48123|48149|48157|48167|48175|48185|48199|48201|48225|48239|48241|48245|48285|48287|48289|48291|48297|48313|48321|48331|48339|48347|48351|48361|48373|48391|48395|48403|48405|48407|48419|48455|48457|48469|48471|48473|48477|48481,"Angelina County, TX|Austin County, TX|Bee County, TX|Brazoria County, TX|Brazos County, TX|Burleson County, TX|Calhoun County, TX|Chambers County, TX|Colorado County, TX|DeWitt County, TX|Fayette County, TX|Fort Bend County, TX|Galveston County, TX|Goliad County, TX|Grimes County, TX|Hardin County, TX|Harris County, TX|Houston County, TX|Jackson County, TX|Jasper County, TX|Jefferson County, TX|Lavaca County, TX|Lee County, TX|Leon County, TX|Liberty County, TX|Live Oak County, TX|Madison County, TX|Matagorda County, TX|Milam County, TX|Montgomery County, TX|Nacogdoches County, TX|Newton County, TX|Orange County, TX|Polk County, TX|Refugio County, TX|Robertson County, TX|Sabine County, TX|San Augustine County, TX|San Jacinto County, TX|Shelby County, TX|Trinity County, TX|Tyler County, TX|Victoria County, TX|Walker County, TX|Waller County, TX|Washington County, TX|Wharton County, TX",TX,,,,,,,HOU,single,1,,,
ero-sna,field-office,San Antonio Field Office,converged,48013|48019|48021|48027|48029|48031|48035|48053|48055|48091|48099|48127|48137|48145|48161|48163|48171|48177|48187|48193|48209|48217|48255|48259|48265|48267|48271|48281|48283|48293|48299|48307|48309|48311|48319|48323|48325|48385|48411|48425|48453|48463|48465|48491|48493|48507,"Atascosa County, TX|Bandera County, TX|Bastrop County, TX|Bell County, TX|Bexar County, TX|Blanco County, TX|Bosque County, TX|Burnet County, TX|Caldwell County, TX|Comal County, TX|Coryell County, TX|Dimmit County, TX|Edwards County, TX|Falls County, TX|Freestone County, TX|Frio County, TX|Gillespie County, TX|Gonzales County, TX|Guadalupe County, TX|Hamilton County, TX|Hays County, TX|Hill County, TX|Karnes County, TX|Kendall County, TX|Kerr County, TX|Kimble County, TX|Kinney County, TX|Lampasas County, TX|La Salle County, TX|Limestone County, TX|Llano County, TX|McCulloch County, TX|McLennan County, TX|McMullen County, TX|Mason County, TX|Maverick County, TX|Medina County, TX|Real County, TX|San Saba County, TX|Somervell County, TX|Travis County, TX|Uvalde County, TX|Val Verde County, TX|Williamson County, TX|Wilson County, TX|Zavala County, TX",TX,"1777 NE Loop 410, Floor 15, San Antonio, TX 78217",single,1,Central Texas,single,1,SNA,single,1,(210) 283-4750,single,1
